about_us,Unsere Philosophie,
account_dashboard,Konto &Uuml;bersicht ,
action_material,Aktionsmaterial,
actual,AKTUELL ,
added_to_your_cart,zum Warenkorb hinzugef&uuml;gt.,
address_book,Kontaktadressen ,
addtocart,IN DEN WARENKORB ,
agb,AGB ,
availability,Verf&uuml;gbarkeit ,
average_rating,Durchschnittliche Bewertung ,
bank,Bank,
based_on,von ,
bundesland,Kanton ,
business,Unternehmen ,
by_part,von ,
captcha_code,Captcha Code ,
change_password,Passwort &auml;ndern ,
check_money_order,Rechnung (Invoice) ,
close,schliessen,
color,Farbe ,
confirm_new_password,Neues Passwort best&auml;tigen,
contact,Kontakt ,
continue_shopping,weiter einkaufen ,
create_an_account_for_later_use,Registrieren Sie sich f&uuml;r mehr Komfort bei Ihrem n&auml;chsten Besuch ,
creditcard_master,MasterCard ,
creditcard_visa,VISA ,
current_password,Aktuelles Passwort,
date_of_birth,Geburtsdatum ,
default_billing_address,Rechnungsadresse ,
default_shipping_address,Versandadresse ,
description,Beschreibung ,
divide,Teilen ,
edit_account_information,Konto bearbeiten ,
email_already_exist,Es existiert bereits ein Konto f&uuml;r diese E-Mail Adresse. Wenn Sie die E-Mail Adresse korrekt eingegeben haben, klicken Sie hier um ein neues Passwort anzufordern. 
email,E-Mail ,
enter_your_coupon_code,Rabattcode einl&ouml;sen ,
female,Frau ,
from_price_bundle,ab,
gender,Geschlecht ,
gesamtsumme,Gesamtsumme (inkl. MwSt.) ,
go_back,Zur&uuml;ck ,
google_account_synced_message,Ihr Google-Konto ist nun mit dem neuen Benutzer Account auf unserem Speicher verbunden. Jetzt k&ouml;nnen Sie sich jeweils unter Anmelden auf der Startseite direkt mit der Google-Connect-Taste oder mit den per E-Mail zugeschickten Login-Daten anmelden.,
gross_table,Gr&ouml;ssentabelle,
hello,Hallo ,
hot_product,BELIEBTE PRODUKTE ,
impressum,Impressum ,
instock,An Lager ,
login,Login ,
logout,Logout ,
male,Mann ,
media,MEDIA ,
mobile_menu_view_all,Alle Produkte,
most_accepted_reviews,Kundenbewertungen zu diesem Produkt,
my_account_dashboard,"Im Bereich ""Mein Konto"" k&ouml;nnen Sie Ihre Konto Informationen bearbeiten. ",
my_account,Mein Konto ,
my_dashboard,Mein Konto ,
mycart,WARENKORB ,
